id_parada,fecha_operacion,tiempo_operacion_h,unidades_producidas,defectos_unidades,temperatura_promedio_c,velocidad_real_u_h,causa_parada,criticidad,duracion_parada_min,costo_parada_soles,observacion,turnos_nombre,turnos_supervisor,turnos_hora_inicio,turnos_hora_fin,procesos_nombre,procesos_familia,procesos_temperatura_objetivo_c,procesos_velocidad_objetivo_u_h,maquinas_nombre,maquinas_linea,maquinas_tipo_maquina,maquinas_antiguedad_anios
116,2026-04-19,3.55,1453,18,32.03,506.62,Falta de insumo,Media,,1529.37,REVISAR SENSOR,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Llenadora 07,Linea D,Llenado,5.65
117,2026-01-25,7.35,1596,16,156.5,238.62,falta de insumo,Media,35.17,1311.5,Atencion mantenimiento,Noche,Diana Flores,22:00,06:00,Tratamiento termico,Termico,155.0,260.0,Etiquetadora 06,Linea C,Etiquetado,2.46
118,2026-06-27,8.04,2652,22,21.72,"351,93",EsPeRa dE OpErAdOr,Media,37.61,944.37,Revisar sensor,Noche,Diana Flores,22:00,06:00,Control de calidad,CaLiDaD,23.0,350.0,Selladora 08,Linea D,Sellado,7.96
119,2026-06-03,10.27,3198,8,44.13,424.68,Falta de insumo,Alta,36.27,1368.43,,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,Etiquetadora 06,Linea C,Etiquetado,2.46
120,2026-05-04,2.63,1789,15,21.3,745.15,Mantenimiento correctivo,BaJa,42.79,1294.23,Validar causa,Noche,Diana Flores,22:00,06:00,Etiquetado final,Empaque,24.0,880.0,Cortadora 03,Linea B,Corte,5.06
121,2026-05-23,7.86,1392,20,160.76,217.3,Espera de operador,Media,33.37,1071.99,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,prensa 02,Linea A,Prensado,6.78
122,2026-02-10,"10,6",7109,14,19.17,690.13,Limpieza no programada,Baja,41.98, 948.73 ,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Empacadora 04,Linea B,Empaque,3.64
123,26/04/2026,11.5,2577,22,23.16,243.39,ajuste de calidad,Alta,74.25,2211.89,Atencion mantenimiento,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Selladora 08,Linea D,Sellado,7.96
124,2026-02-28,4.32,2337,26,28.2,776.12,  Cambio de formato ,CrItIcA,69.94,3495.09,,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Selladora 08,Linea D,Sellado,7.96
125,2026-06-20,8.97,4135,30,13.69,514.79,Limpieza no programada,Alta,63.8,2188.57,Validar causa,Noche,Diana Flores,22:00,06:00,Empaque primario,Empaque,24.0,720.0,Selladora 08,Linea D,Sellado,7.96
126,2026-01-19,11.38,3817,13,64.75,442.54,Espera de operador,CRITICA,93.51,2100.3,,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Horno 05,linea c,TeRmIcO,10.14
127,2026-05-14,6.95,2025,38,34.12,330.49,Falta de insumo,,63.1,1674.99,,Manana,Ana Torres,06:00,14:00,Control de calidad,CaLiDaD,23.0,350.0,Mezcladora 01,Linea A,Mezclado,4.18
128,2026-04-12,8.94,2535,16,65.69,343.98,Ajuste de calidad,Media,42.27,1148.84,Revisar sensor,Manana,Ana Torres,06:00,14:00,Moldeado inicial,Transformacion,70.0,410.0,Llenadora 07,Linea D,Llenado,5.65
129,2026-05-04,5.92,899,13,151.28,222.65,CaMbIo dE FoRmAtO,baja,37.19,830.15,Revisar sensor,Manana,Ana Torres,06:00,14:00,Tratamiento termico,Termico,155.0,260.0,Selladora 08,Linea D,Sellado,7.96
130,2026-05-13,2.11,512,8,31.11,293.95,Ajuste  de  calidad,BAJA,30.99,1027.19,,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Mezcladora 01,Linea A,Mezclado,4.18
131,2026-02-08,3.69,2084,17,32.09 aprox,"683,22",Cambio de formato,Critica,59.1 aprox,2266.22,OK,Noche,Diana Flores,22:00,06:00,Empaque primario,Empaque,24.0,720.0,Cortadora 03,Linea B,Corte,5.06
132,2026-04-18,10.27,2154,16,30.24,260.16,  Ajuste de calidad ,Baja,24.0, 767.77 ,Atencion mantenimiento,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Empacadora 04,Linea B,Empaque,3.64
133,2026-02-05,10.87 aprox,2500,17,"153,16",239.74,Espera de operador,Media,23.72,897.9,,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Empacadora 04,Linea B,Empaque,3.64
134,2026-03-22,2.77,932,30,59.8,406.29,Ajuste de calidad,media,57.65,1497.42,Atencion mantenimiento,Manana,Ana Torres,06:00,14:00,Moldeado inicial,Transformacion,70.0,410.0,prensa 02,Linea A,Prensado,6.78
135,2026-05-17,4.27,580,24,160.4,187.88,Falta de insumo,Baja,20.1,630.5,,Noche,Diana Flores,22:00,06:00,Tratamiento termico,Termico,155.0,260.0,Mezcladora 01,Linea A,Mezclado,4.18
136,2026-06-17,,3167,11,38.97,450.81,Falla mecanica,Media,47.09,1226.27,Revisar sensor,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Selladora 08,Linea D,Sellado,7.96
137, 2026-03-27 ,9.06,3281,19,43.52,372.28,mantenimiento correctivo,Media,59.93,1668.27,Validar causa,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,prensa 02,Linea A,Prensado,6.78
138,2026-04-24,8.25,5018,16,28.8,888.98,Mantenimiento correctivo,Baja,37.44,1223.76,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Etiquetado final,Empaque,24.0,880.0,Mezcladora 01,Linea A,Mezclado,4.18
139,2026-04-03, 2.15 , 433 ,21,22.91,231.46,Mantenimiento correctivo,Media,57.33,2046.88,,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,prensa 02,Linea A,Prensado,6.78
140,2026-06-13,11.07,3858,6,66.7,373.04,Cambio de formato,Media,36.9,1079.3,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Moldeado inicial,Transformacion,70.0,410.0,Selladora 08,Linea D,Sellado,7.96
141,2026-06-27,5.33 aprox,2143,13,36.02,605.4,Falla  electrica,Alta,71.07,1693.51,Validar causa,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Selladora 08,Linea D,Sellado,7.96
142,2026-05-23, 9.56 ,2701,31,38.11,300.88,Espera de operador,Critica,77.56,2697.55,OK,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Llenadora 07,Linea D,Llenado,5.65
143,2026-01-23,6.73,3322,11,40.62,560.8,Limpieza no programada,  Baja ,19.3 aprox,569.83,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,Cortadora 03,Linea B,Corte,5.06
144,2026-01-15,5.68 aprox,2678,28,43.03,612.12,Espera de operador,Media,47.59,1594.08,,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Horno 05,linea c,TeRmIcO,10.14
145,2026-05-01,2.73,674, 17 , 26.61 ,266.85,Cambio de formato,Critica, 71.72 ,2076.8,,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Horno 05,linea c,TeRmIcO,10.14
146,2026-03-17,5.77,3132,27,34.11,554.67,mantenimiento correctivo,Media,57.95,1290.15,OK,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,Llenadora 07,Linea D,Llenado,5.65
147,2026-05-12,2.87,1621,12,23.67,703.68,Espera de operador,Alta,49.68,1191.37,,Noche,Diana Flores,22:00,06:00,Etiquetado final,Empaque,24.0,880.0,Selladora 08,Linea D,Sellado,7.96
148, 2026-01-09 , 6.54 ,3509,16,25.36,753.96,  Falta de insumo ,Media,33.15,852.21,   ,Tarde,Luis Ramos,14:00,22:00,Etiquetado final,Empaque,24.0,880.0,Mezcladora 01,Linea A,Mezclado,4.18
149,2026-06-13,6.48,1329,15,157.66,242.76,Mantenimiento correctivo,Media,53.9,1804.54,atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Horno 05,linea c,TeRmIcO,10.14
150,2026-04-09,2.83,856,15,30.63,322.92,Falta de insumo,Baja,33.72, 988.81 ,Validar causa,Manana,Ana Torres,06:00,14:00,Enfriamiento controlado,Termico,30.0,300.0,Horno 05,linea c,TeRmIcO,10.14
151,2026-04-24,11.41,6965,31,14.26,748.55,Cambio de formato,Alta,61.65 aprox,1682.34,,Tarde,Luis Ramos,14:00,22:00,Etiquetado final,Empaque,24.0,880.0,Selladora 08,Linea D,Sellado,7.96
152,2026-05-09,10.63,2470,19,24.52,269.31,Falta de insumo,MeDiA,50.74,1405.55,OK,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Cortadora 03,Linea B,Corte,5.06
153,2026-04-21,2.83,1502,20,32.55,572.03,Cambio de formato,Alta,49.69,S/ 1513.33,OK,Tarde,Luis Ramos,14:00,22:00,Corte de piezas,transformacion,38.0,620.0,Empacadora 04,Linea B,Empaque,3.64
154,2026-06-24,8.53,3684,2,23.99,542.88 aprox,Falla electrica,,54.61 aprox,1510.58,ReViSaR SeNsOr,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Empacadora 04,Linea B,Empaque,3.64
155,2026-02-05,10.79 aprox,5984,19,29.39,836.82,Falta de insumo,Media,42.92,1452.89,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Etiquetado final,Empaque,24.0,880.0,prensa 02,Linea A,Prensado,6.78
156,2026-04-24,7.63,2238,14,38.78, 451.04 ,Mantenimiento correctivo,Media,47.87,1731.04,OK,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Selladora 08,Linea D,Sellado,7.96
157,2026-05-09,8.33,5163,12,23.44,,Falla mecanica,Media,45.51,1334.22,Validar causa,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Cortadora 03,Linea B,Corte,5.06
158,2026-02-20,5.79 aprox,954,23,161.72 aprox,233.43,Falla electrica,Baja,33.7,1106.98,Revisar sensor,Manana,Ana Torres,06:00,14:00,Tratamiento termico,Termico,155.0,260.0,Llenadora 07,Linea D,Llenado,5.65
159,20-01-2026,2.94,1733,5,24.8,677.8,Falla mecanica,Media,38.81 aprox,1397.56,Atencion mantenimiento,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Cortadora 03,Linea B,Corte,5.06
160,2026-03-19,2.02,358,17,"157,05",207.56,Falla mecanica,Baja,30.4,983.67,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Etiquetadora 06,Linea C,Etiquetado,2.46
161,2026-05-21,,1611,14,45.97 aprox,526.88,ajuste de calidad,Media,41.46 aprox,984.37,Validar causa,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,Selladora 08,Linea D,Sellado,7.96
162,2026-05-13,8.91,3821,16 aprox, 18.88 ,658.22,Cambio de formato,Alta,49.34,1540.45,Revisar sensor,Noche,Diana Flores,22:00,06:00,Empaque primario,Empaque,24.0,720.0,Horno 05,linea c,TeRmIcO,10.14
163,2026-03-15,6.08,1088,12,31.33,269.11,Mantenimiento correctivo,Baja,49.25,1315.7,OK,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Mezcladora 01,Linea A,Mezclado,4.18
164,2026-04-03,4.32,3648,19,28.59,869.51,Falta de insumo,Media,46.99,1177.68,,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Selladora 08,Linea D,Sellado,7.96
165,27/05/2026,9.21,1580,14,154.18,257.32,  Falla electrica ,CrItIcA,61.32, 1821.1 ,,Manana,Ana Torres,06:00,14:00,Tratamiento termico,Termico,155.0,260.0,Empacadora 04,Linea B,Empaque,3.64
166,2026-04-20,3.76,544,6,31.05,"220,42",Limpieza no programada,Baja,29.25,937.26,Atencion  mantenimiento,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Etiquetadora 06,Linea C,Etiquetado,2.46
167,2026-05-10,9.8,8423,17,27.35,937.77,Falla mecanica,Alta,56.32,1774.4,OK,Tarde,Luis Ramos,14:00,22:00,Etiquetado final,Empaque,24.0,880.0,Empacadora 04,Linea B,Empaque,3.64
168,2026-05-26,10.74,4924,13,23.27,617.9,Falta de insumo,Critica,68.17,1983.47,OK,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Cortadora 03,Linea B,Corte,5.06
169,2026-05-11,"3,63",2024,24,35.18,652.37,Mantenimiento  correctivo,Baja,59.76,1990.51,Atencion mantenimiento,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Horno 05,linea c,TeRmIcO,10.14
170,2026-02-05,7.63,2601,25,38.77,434.21,Cambio de formato,Alta,46.62,1354.06,OK,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,Cortadora 03,Linea B,Corte,5.06
171,2026-01-22,5.71, 1207 ,20,62.78,292.02,falla electrica,Alta,71.64,1664.61,Validar causa,Tarde,Luis Ramos,14:00,22:00,Moldeado inicial,Transformacion,70.0,410.0,Llenadora 07,Linea D,Llenado,5.65
172,2026-02-27,6.86,3261 aprox,22,41.37,546.96,Falla electrica,Baja,31.64,1127.76,,Tarde,Luis Ramos,14:00,22:00,Corte de piezas,transformacion,38.0,620.0,Empacadora 04,Linea B,Empaque,3.64
173,2026-05-22,4.36,840,30,39.07,294.1,FaLlA MeCaNiCa,Media,"58,67",1396.91,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Horno 05,linea c,TeRmIcO,10.14
174,2026/01/27,2.57,520,14,30.5,308.02,Falla electrica,Media,35.59,905.12,,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Llenadora 07,Linea D,Llenado,5.65
175,2026-06-01,4.2,891,20,32.12,310.52,Falla electrica,Alta,41.28,999.98,,Manana,Ana Torres,06:00,14:00,Enfriamiento controlado,Termico,30.0,300.0,Etiquetadora 06,Linea C,Etiquetado,2.46
176,2026-04-10,,1137,23,74.27,310.38,Falla electrica,Media,48.71,1515.04,Revisar sensor,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Mezcladora 01,Linea A,Mezclado,4.18
177,2026-06-04,7.73,,18,39.84,652.33,Mantenimiento  correctivo,Alta,75.15,2204.71,,Manana,Ana Torres,06:00,14:00,Corte de piezas,transformacion,38.0,620.0,Selladora 08,Linea D,Sellado,7.96
178,2026-02-14,"9,03",4860,9,23.57,747.58,Ajuste de calidad,Media,45.61,1453.3,OK,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,Horno 05,linea c,TeRmIcO,10.14
179,2026-04-14,7.89,2307,14,28.54,310.5,Cambio de formato,Baja,22.11,838.26,Validar causa,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Mezcladora 01,Linea A,Mezclado,4.18
180,2026-03-06,,2996,17,29.85,890.62,Limpieza no programada,Media,34.52,754.16,,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Etiquetadora 06,Linea C,Etiquetado,2.46
181,2026-05-07,2.34,506,32,37.95,322.45,Mantenimiento correctivo,MeDiA, 48.39 ,1283.66,Validar causa,Manana,Ana Torres,06:00,14:00,Enfriamiento controlado,Termico,30.0,300.0,Mezcladora 01,Linea A,Mezclado,4.18
182,2026-06-22,5.57,2590,14,35.4,652.3,AJUSTE DE CALIDAD,Alta,73.52 aprox,2591.14 aprox,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Corte de piezas,transformacion,38.0,620.0,Horno 05,linea c,TeRmIcO,10.14
183,2026-02-15,4.83,1326,23,66.36,327.48,CAMBIO DE FORMATO,Baja,"30,58",1122.5,Atencion mantenimiento,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Llenadora 07,Linea D,Llenado,5.65
184,2026-01-14,6.07,1023,25,160.61,225.57,,AlTa,41.26,1102.7 aprox,VaLiDaR CaUsA,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Llenadora 07,Linea D,Llenado,5.65
185,2026-01-07,8.14, 1633 ,30,40.62,251.93,Falta de insumo,Media,"59,79",1703.48,,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Cortadora 03,Linea B,Corte,5.06
186,2026-01-26, 8.49 ,2535,21,30.13,316.22,Cambio de formato,Media,54.95,1862.09,,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Horno 05,linea c,TeRmIcO,10.14
187,2026-04-20,9.71,2256,16,"24,32",273.85,Espera de operador,Alta,61.92,1586.31,,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,prensa 02,Linea A,Prensado,6.78
188,2026/06/26,3.65,739,30,146.51,226.91,Cambio de formato,Media,57.82,1511.56,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Mezcladora 01,Linea A,Mezclado,4.18
189,2026-06-16,3.2,497,,34.02,219.86,Ajuste de calidad,Critica,68.63,2756.97,  Revisar sensor ,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Etiquetadora 06,Linea C,Etiquetado,2.46
190,23/06/2026,5.01,2995,22,28.14,767.3,Limpieza no programada,Baja,42.57,1118.42,Revisar sensor,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Horno 05,linea c,TeRmIcO,10.14
191,2026-01-24,9.79,2402,16,31.44,295.53,Espera de operador,Media,20.94,776.79,,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Llenadora 07,Linea D,Llenado,5.65
192,2026-02-03,2.39 aprox,661,21,39.05,304.47,CAMBIO DE FORMATO,Critica,64.41, 2346.65 ,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Etiquetadora 06,Linea C,Etiquetado,2.46
193,2026-06-13,3.3,2356,19,21.64,748.13,Falla mecanica,Critica,88.51,,Revisar sensor,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,Horno 05,linea c,TeRmIcO,10.14
194,18-05-2026,9.4,4356,31 aprox, 13.07 ,,  Limpieza no programada ,Media,36.07,1142.64,Revisar sensor,Noche,Diana Flores,22:00,06:00,Empaque primario,Empaque,24.0,720.0,Etiquetadora 06,Linea C,Etiquetado,2.46
195,2026-04-27, 10.12 ,2836,24,78.0,329.52,Falla mecanica,media,50.84,1648.57,OK,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Mezcladora 01,Linea A,Mezclado,4.18
196,2026-02-18,9.61,,22,148.6,264.03 aprox,Cambio de formato,Alta,"65,93",1638.76,AtEnCiOn mAnTeNiMiEnTo,Noche,Diana Flores,22:00,06:00,Tratamiento termico,Termico,155.0,260.0,Selladora 08,Linea D,Sellado,7.96
197,2026-05-12,6.9,2073,27,40.36,381.22,LiMpIeZa nO PrOgRaMaDa,Media,45.64,1493.46,OK,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,Selladora 08,Linea D,Sellado,7.96
198,2026-03-18,9.4 aprox,5067,14,40.41 aprox,621.34 aprox,Cambio de formato,Baja,21.45,636.41,OK,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Llenadora 07,Linea D,Llenado,5.65
199,2026-06-03,11.33,6771,33,35.93,855.96,LIMPIEZA NO PROGRAMADA,Alta,53.87,1599.86,OK,Tarde,Luis Ramos,14:00,22:00,Etiquetado final,Empaque,24.0,880.0,Etiquetadora 06,Linea C,Etiquetado,2.46
200,2026-04-10,2.37 aprox,785 aprox,35,"36,03",478.39,Espera de operador,Media,40.82,1109.61,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,prensa 02,Linea A,Prensado,6.78
201,2026-03-05,6.97,,22,17.92,717.33,Espera de operador,  Alta ,59.6,1854.75,Validar causa,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,prensa 02,Linea A,Prensado,6.78
202,,5.83, 1666 ,12,71.53,406.52,Espera de operador,Media,"48,56",1839.4,ATENCION MANTENIMIENTO,Tarde,Luis Ramos,14:00,22:00,Moldeado inicial,Transformacion,70.0,410.0,Selladora 08,Linea D,Sellado,7.96
203,12-05-2026,2.74,656 aprox,21,33.96,323.21,  Cambio de formato ,  Baja ,30.46,1188.32,Revisar sensor,Manana,Ana Torres,06:00,14:00,Enfriamiento controlado,Termico,30.0,300.0,Llenadora 07,Linea D,Llenado,5.65
204,2026-01-24,7.73 aprox,1426,13,31.7,267.73,Falla mecanica,Alta,64.72,1816.56,OK,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Mezcladora 01,Linea A,Mezclado,4.18
205,2026-06-19,,1953,26,43.38,466.97,Cambio de formato,Media, 49.92 ,1632.8,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Corte de piezas,transformacion,38.0,620.0,Horno 05,linea c,TeRmIcO,10.14
206,2026-03-02,"3,29",746,26,35.61,265.23,MANTENIMIENTO CORRECTIVO,Critica,86.36 aprox,2617.06,OK,Manana,Ana Torres,06:00,14:00,Enfriamiento controlado,Termico,30.0,300.0,prensa 02,Linea A,Prensado,6.78
207,2026-04-20,3.74,970,8 aprox,155.8 aprox,269.03 aprox,Mantenimiento correctivo,,38.44,1285.33,,Manana,Ana Torres,06:00,14:00,Tratamiento termico,Termico,155.0,260.0,Empacadora 04,Linea B,Empaque,3.64
208,2026-05-26,3.85,3248,18,16.96,906.6,Falta de insumo,Media,51.75,1504.74,OK,Tarde,Luis Ramos,14:00,22:00,Etiquetado final,Empaque,24.0,880.0,Selladora 08,Linea D,Sellado,7.96
209,2026-06-02,7.86,1993,29,"24,51",376.64,Ajuste de calidad,Alta,64.28,1869.27,Revisar sensor,Noche,Diana Flores,22:00,06:00,Control de calidad,CaLiDaD,23.0,350.0,Horno 05,linea c,TeRmIcO,10.14
210,2026/05/10,"3,13",1074,19, 50.08 ,411.7,MaNtEnImIeNtO CoRrEcTiVo,Baja,36.04,1231.17,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,Empacadora 04,Linea B,Empaque,3.64
211,2026-04-26,"3,83",1602,20,19.05,554.77,Falla electrica,Baja,57.57,1788.15,OK,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Selladora 08,Linea D,Sellado,7.96
212,2026-01-04,10.79,3179,31,64.09,338.23,Falla mecanica,Alta,60.22,1545.97,,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Horno 05,linea c,TeRmIcO,10.14
213,2026-05-03,4.84,883,16,16.84,271.35 aprox,  Falta de insumo ,Baja,29.61, 814.63 ,Validar causa,Noche,Diana Flores,22:00,06:00,Control de calidad,CaLiDaD,23.0,350.0,Etiquetadora 06,Linea C,Etiquetado,2.46
214,2026-05-12,7.2,4508,12,27.29,724.01,Ajuste de calidad,Baja,32.82,909.19,,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Empacadora 04,Linea B,Empaque,3.64
215,2026-06-21,2.15,559,18,67.95 aprox,379.81,FALTA DE INSUMO,Baja,40.76,"1510,61",OK,Tarde,Luis Ramos,14:00,22:00,Moldeado inicial,Transformacion,70.0,410.0,Selladora 08,Linea D,Sellado,7.96
216,2026-05-28,9.68,5544,9,,"589,72",Ajuste de calidad,Baja,25.49,916.62,Revisar sensor,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,prensa 02,Linea A,Prensado,6.78
217,2026-04-13,6.99 aprox,3119,18,31.27,619.33,Ajuste de calidad,Alta,58.0,1844.16,OK,Noche,Diana Flores,22:00,06:00,Etiquetado final,Empaque,24.0,880.0,prensa 02,Linea A,Prensado,6.78
218,2026-06-07,10.12,2081,20,76.83,300.55,Cambio de formato,Baja,23.61,737.87,Atencion mantenimiento,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Cortadora 03,Linea B,Corte,5.06
219,2026-05-09,10.81,5544,21,"42,73",523.59,Falla mecanica,Alta,59.16,1682.91,Revisar sensor,Manana,Ana Torres,06:00,14:00,Preparacion de insumo,Preparacion,45.0,520.0,Selladora 08,Linea D,Sellado,7.96
220,2026-06-05,10.74,5894,21,29.04,741.44,Falla mecanica,Media,"57,68",1984.53,,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Cortadora 03,Linea B,Corte,5.06
221,2026-05-20,5.94,1536,9,"70,44",315.17,Espera de operador,Baja,23.75,,,Tarde,Luis Ramos,14:00,22:00,Moldeado inicial,Transformacion,70.0,410.0,Etiquetadora 06,Linea C,Etiquetado,2.46
222,2026-06-01,9.51,4678,22,20.12,747.71,ajuste de calidad,Baja,43.02,1355.15,VaLiDaR CaUsA,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,Horno 05,linea c,TeRmIcO,10.14
223,2026-03-26,2.65,1586 aprox,19,25.8,657.79,Mantenimiento correctivo,Media, 49.46 ,1482.22,OK,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,Llenadora 07,Linea D,Llenado,5.65
224,2026-04-08, 3.18 ,2196,29,17.49,724.11,Falta de insumo,Alta,60.41,2116.02,Revisar sensor,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Cortadora 03,Linea B,Corte,5.06
225,2026-01-23,9.03,5036,20,17.07,755.53,Espera de operador,Media,52.11,1778.5,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Etiquetado final,Empaque,24.0,880.0,Llenadora 07,Linea D,Llenado,5.65
226, 2026-06-22 ,6.26,1611,,"21,14","272,45",Mantenimiento correctivo,Baja,47.69,1343.96,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Control de calidad,CaLiDaD,23.0,350.0,Llenadora 07,Linea D,Llenado,5.65
227,2026-03-18,6.53, 3555 , 5 ,26.94,627.54,Falla mecanica,Media,35.81,871.48,Revisar sensor,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Llenadora 07,Linea D,Llenado,5.65
228,2026-05-17,5.92,3169,30,17.41,623.37,Limpieza no programada,Baja,33.7,931.47,,Noche,Diana Flores,22:00,06:00,Etiquetado final,Empaque,24.0,880.0,Empacadora 04,Linea B,Empaque,3.64
229,2026-03-18,10.9,6824,18,19.95,734.06,Cambio de formato,  Media ,56.96,1209.48,Revisar sensor,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Selladora 08,Linea D,Sellado,7.96
230,2026-05-23,7.86,1392,20,160.76,217.3,Espera de operador,Media,33.37,1071.99,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,prensa 02,Linea A,Prensado,6.78
